numero_de_cliente	foto_mes	active_quarter	cliente_vip	internet	cliente_edad	cliente_antiguedad	mrentabilidad	mrentabilidad_annual	mcomisiones	mactivos_margen	mpasivos_margen	cproductos	tpaquete1	tpaquete2	tpaquete7	tpaquete9	tcuentas	ccuenta_corriente	mcuenta_corriente_adicional	mcuenta_corriente	ccaja_ahorro	mcaja_ahorro	mcaja_ahorro_adicional	mcaja_ahorro_dolares	mdescubierto_preacordado	mcuentas_saldo	ctarjeta_debito	ctarjeta_debito_trx	mautoservicio	ctarjeta_visa	ctarjeta_visa_trx	mtarjeta_visa_consumo	ctarjeta_master	ctarjeta_master_trx	mtarjeta_master_consumo	cprestamos_personales	mprestamos_personales	cprestamos_prendarios	mprestamos_prendarios	cprestamos_hipotecarios	mprestamos_hipotecarios	cplazo_fijo	mplazo_fijo_dolares	mplazo_fijo_pesos	cinversion1	minversion1_pesos	minversion1_dolares	cinversion2	minversion2	cseguro_vida	cseguro_auto	cseguro_vivienda	cseguro_accidentes_personales	ccaja_seguridad	cpayroll_trx	mpayroll	mpayroll2	cpayroll2_trx	ccuenta_debitos_automaticos	mcuenta_debitos_automaticos	ctarjeta_visa_debitos_automaticos	mtarjeta_visa_debitos_automaticos	ctarjeta_master_debitos_automaticos	mttarjeta_master_debitos_automaticos	cpagodeservicios	mpagodeservicios	cpagomiscuentas	mpagomiscuentas	ccajeros_propios_descuentos	mcajeros_propios_descuentos	ctarjeta_visa_descuentos	mtarjeta_visa_descuentos	ctarjeta_master_descuentos	mtarjeta_master_descuentos	ccomisiones_mantenimiento	mcomisiones_mantenimiento	ccomisiones_otras	mcomisiones_otras	cforex	cforex_buy	mforex_buy	cforex_sell	mforex_sell	ctransferencias_recibidas	mtransferencias_recibidas	ctransferencias_emitidas	mtransferencias_emitidas	cextraccion_autoservicio	mextraccion_autoservicio	ccheques_depositados	mcheques_depositados	ccheques_emitidos	mcheques_emitidos	ccheques_depositados_rechazados	mcheques_depositados_rechazados	ccheques_emitidos_rechazados	mcheques_emitidos_rechazados	tcallcenter	ccallcenter_trx	thomebanking	chomebanking_trx	ccajas_trx	ccajas_consultas	ccajas_depositos	ccajas_extracciones	ccajas_otras	catm_trx	matm	catm_trx_other	matm_other	ctrx_quarter	tmobile_app	cmobile_app_trx	Master_delinquency	Master_status	Master_mfinanciacion_limite	Master_Fvencimiento	Master_Finiciomora	Master_msaldototal	Master_msaldopesos	Master_msaldodolares	Master_mconsumospesos	Master_mconsumosdolares	Master_mlimitecompra	Master_madelantopesos	Master_madelantodolares	Master_fultimo_cierre	Master_mpagado	Master_mpagospesos	Master_mpagosdolares	Master_fechaalta	Master_mconsumototal	Master_cconsumos	Master_cadelantosefectivo	Master_mpagominimo	Visa_delinquency	Visa_status	Visa_mfinanciacion_limite	Visa_Fvencimiento	Visa_Finiciomora	Visa_msaldototal	Visa_msaldopesos	Visa_msaldodolares	Visa_mconsumospesos	Visa_mconsumosdolares	Visa_mlimitecompra	Visa_madelantopesos	Visa_madelantodolares	Visa_fultimo_cierre	Visa_mpagado	Visa_mpagospesos	Visa_mpagosdolares	Visa_fechaalta	Visa_mconsumototal	Visa_cconsumos	Visa_cadelantosefectivo	Visa_mpagominimo	clase_ternaria	cluster2
4679702	202009	1	0	1	78	316	834.43	111613.63	947.75	-42.96	-53.9	10	1	0	0	0	1	1	0	171111.15	2	218.41	0	70723.16	1.17	199448.99	3	1	3391.29	1	10	16903.38	1	0	0	0	0	0	0	0	0	2	1476474.16	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	8	37808.21	4	3307.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	947.75	1	0	0	1	234	2	6552.46	1	193050	0	0	5	130770.9	0	0	0	0	0	0	0	0	1	33	1	0	0	0	4	0	0	0	0	106	1	1	0	0	591661.83	-395	53	2405.05	2405.05	0	0	0	657421.5	0	0	21	198.9	-117	0	5461	0	0	0	198.9	0	0	846894.26	-1430	51	14738.07	17243.54	0	16412.71	6.43	941013.45	0	0	0	0	-5035.86	0	8835	16412.71	12	0	1064.7	BAJA+2	1
4682215	202004	1	0	1	47	168	2416.9	7689.48	750.91	0	1423.92	5	1	0	0	0	1	1	0	0	2	97749.77	0	2138.68	0	53629.29	1	21	72413.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4728.44	0	0	0	0	0	0	3	30481.91	0	0	0	0	0	0	0	0	8	750.91	1	0	0	1	234	2	208260	4	16598.79	4	61308	1	38317.5	0	0	0	0	0	0	0	0	1	35	0	0	0	0	0	4	61308	0	0	77	1	13	0	0	126360	-943	53	0	0	0	351	0	140400	0	0	4	0	-795.6	0	1532.5	351	1	0	0	0	0	126360	-1460	51	167.23	209.07	0	984.14	0	168480	0	0	4	0	-3032.985	0	1820	984.14	2	0	0	BAJA+2	2
4696145	202005	1	0	1	45	138	1382.24	16278.81	1318.68	25.86	28.47	7	1	0	0	0	1	1	0	-741.67	2	859.09	0	0	1.17	1090.01	1	0	0	1	2	2524.89	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2578.68	2	2524.89	0	0	0	0	0	0	0	0	0	0	0	0	1	1361.45	8	1318.68	0	0	0	0	0	2	5382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	81	0	0	0	0	0	0	0	0	0	30	0	0	0	0	63180	-244	53	0	0	0	351	0	70200	0	0	11	0	-795.6	0	4154	351	1	0	0	0	0	63180	-244	51	3220.98	3768.54	0	2524.89	0	70200	0	0	11	2494.01	0	0	4154	2524.89	2	0	362.7	BAJA+2	3
4697656	202007	1	0	0	65	308	-1037.57	176276.21	472.66	-31.86	-1258.95	8	1	0	0	0	1	1	0	0	2	2413.2	0	0.84	0	7929.78	2	1	6489.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15.18	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	19268.8	0	0	0	0	0	0	0	0	8	472.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	28	0	0	0	0	126360	-943	53	0	0	0	351	0	140400	0	0	4	0	-795.6	0	1532.5	351	1	0	0	0	0	126360	-1460	51	167.23	209.07	0	984.14	0	168480	0	0	4	0	-3032.985	0	1820	984.14	2	0	0	BAJA+2	2
4708777	202005	1	0	1	62	311	865.85	42666.49	0	120.84	619.21	6	1	0	0	0	1	1	0	-3187.36	2	0	0	0	1.17	3840.54	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	65.83	0	0	0	0	0	0	1	1923.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	4	0	0	0	0	126360	-943	53	0	0	0	351	0	140400	0	0	4	0	-795.6	0	1532.5	351	1	0	0	0	0	126360	-1460	51	167.23	209.07	0	984.14	0	168480	0	0	4	0	-3032.985	0	1820	984.14	2	0	0	BAJA+2	2
4709868	202005	1	0	1	57	164	1720.76	77019.01	587.6	213.91	754.6	7	1	0	0	1	1	1	0	-829.2	4	13644.94	0	1942.1	1.17	2890.33	1	0	0	1	18	97356.57	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	52377.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	587.6	0	0	0	0	0	0	0	0	0	4	18720	0	0	0	0	0	0	0	0	1	3	1	4	0	0	0	0	0	4	18720	0	0	65	0	0	0	0	985858.08	-456	53	0	0	0	351	0	1095397.87	0	0	11	0	-795.6	0	2846	351	1	0	0	0	0	985858.08	-1186	51	84112.86	98412.04	0	71150.01	4.27	1095397.87	0	0	11	10959.13	-99025.02	0	2846	71150.01	9	0	5101.2	BAJA+2	1
4711385	202010	1	0	0	82	317	-2135.92	112356.91	865.09	-1762.32	-802.66	8	1	0	0	0	1	1	0	0	2	235122.04	0	2262899.3	1.17	2492826.87	2	0	0	1	14	67962.02	0	0	0	0	0	0	0	0	0	1	1404000	0	0	0	0	2	0.66	0	0	0	0	1	0	0	0	0	0	0	12	63232.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	865.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	72	0	0	0	0	0	0	0	0	0	60	0	0	0	0	126360	-943	53	0	0	0	351	0	140400	0	0	4	0	-795.6	0	1532.5	351	1	0	0	0	0	252720	-1155	51	58784.25	68777.57	0	63232.79	0	280800	0	0	3	0	-77755.96	0	8363	63232.79	12	0	3814.2	BAJA+2	1
4712023	202006	0	0	0	78	313	0	0	0	0	0	4	1	0	0	0	1	1	0	0	2	1252.82	0	0	1.17	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1361.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	9	88452	-760	53	0	0	0	351	0	98280	0	0	13	0	-795.6	0	7309	351	1	0	0	0	9	252720	-1795	51	1.42	1.66	0	0	0	280800	0	0	-1	0	-577.53	0	10292	0	0	0	0	BAJA+2	4
4712353	202008	1	0	0	71	315	1813.89	22531.97	1446.91	309.26	4.4	5	1	0	0	0	1	1	0	-670.6	2	39.18	0	6.93	1.17	56.89	6	6	54452.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8.42	0	0	0	0	0	0	0	0	0	1	2962.44	0	0	0	0	0	0	11	28849.11	0	0	0	0	0	0	1	1361.45	6	1446.91	0	0	0	0	0	3	8330.4	0	0	1	7020	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	7020	29	0	0	0	0	126360	-943	53	0	0	0	351	0	140400	0	0	4	0	-795.6	0	1532.5	351	1	0	0	0	0	126360	-1460	51	167.23	209.07	0	984.14	0	168480	0	0	4	0	-3032.985	0	1820	984.14	2	0	0	BAJA+2	2
4731579	202011	1	0	0	62	2	1	1.33	0	0	0.86	6	1	0	0	1	1	1	0	0	4	53.53	0	0	1.17	106.42	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	6	0	1	0	0	0	0	0	4	0	1	0	0	151632	-2160	53	0	0	0	351	0	168480	0	0	5	0	-795.6	0	36	351	1	0	0	0	0	151632	-2160	51	0	0	0	984.14	0	168480	0	0	5	0	-3032.985	0	36	984.14	2	0	0	BAJA+2	4
4734460	202010	1	0	0	62	75	244.3	16450.29	66.7	-0.02	151.82	6	1	0	0	0	1	1	0	0	3	0	9248.28	0	0	7669.95	2	7	6110.91	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10530	0	0	0	0	0	0	0	0	4	66.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	34	0	0	0	0	50544	-1124	53	-52.41	-52.41	0	351	0	56160	0	0	3	0	-795.6	0	1819	351	1	0	0	0	0	126360	-1460	51	167.23	209.07	0	984.14	0	168480	0	0	4	0	-3032.985	0	1820	984.14	2	0	0	BAJA+2	2
4736379	202009	1	0	0	76	145	1358.37	15890.89	1221.91	116.63	0	6	1	0	0	0	1	1	0	-3960.48	2	0	0	0	1.17	-5547.75	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1361.45	2	1221.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	88452	-1825	53	0	0	0	351	0	98280	0	0	0	0	-795.6	0	4390	351	1	0	0	0	0	353808	-1825	51	0	0	0	984.14	0	393120	0	0	0	0	-3032.985	0	4390	984.14	2	0	0	BAJA+2	5
4741877	202009	0	0	0	57	261	8.47	2643.33	0	7.24	0	6	1	0	0	0	1	1	0	-248.85	2	0	0	0	1.17	-253.01	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	126360	-943	53	0	0	0	351	0	140400	0	0	4	0	-795.6	0	1532.5	351	1	0	0	0	0	252720	-880	51	0	0	0	984.14	0	280800	0	0	0	0	-3032.985	0	5351	984.14	2	0	0	BAJA+2	4
4754098	202004	1	0	1	47	308	1227.41	8138.69	1300.44	-132.56	70.14	6	1	0	0	0	1	1	0	-879.68	2	1255.42	0	16729.45	1.17	12989.81	2	0	0	1	7	5996.34	1	1	1670.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5996.34	1	1670.26	0	0	0	0	0	0	0	0	0	0	1	1361.45	6	1300.44	1	1	70.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	47	0	0	0	0	44226	-852	53	1670.26	1670.26	0	1670.26	0	49140	0	0	8	0	-1670.26	0	4645	1670.26	1	0	58.5	0	0	101088	-882	51	5125.08	5996.34	0	5996.34	0	112320	0	0	8	0	-4333.11	0	8282	5996.34	7	0	234	BAJA+2	1
4756630	202001	0	0	0	45	4	0	0	0	0	0	6	1	0	0	0	2	1	0	0	2	0	0	0	1.17	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75816	-1734	53	0	0	0	351	0	84240	0	0	2	0	-795.6	0	116	351	1	0	0	0	0	88452	-2099	51	0	0	0	984.14	0	98280	0	0	2	0	-3032.985	0	116	984.14	2	0	0	BAJA+2	6
4757095	202009	1	0	0	67	290	2535.13	9370.36	2350.95	0	157.42	7	1	0	0	0	1	1	0	0	2	10839.85	0	504242.87	0	517220.76	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2619.44	2	2350.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	701409.82	-1399	53	0	0	0	351	0	779344.25	0	0	7	0	-795.6	0	435	351	1	0	0	0	0	692709.31	-699	51	-5.8	-6.78	0	984.14	0	769677.01	0	0	21	0	-3032.985	0	8819	984.14	2	0	0	BAJA+2	2
4759546	202009	1	0	1	60	32	622.12	14392.32	34.04	353.31	149.32	6	1	0	0	0	1	1	0	0	3	6279.1	3510	0	0	2718.51	1	8	4852.72	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	34.04	0	0	0	0	0	6	29659.5	3	23985	0	0	0	0	0	0	0	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	83	1	22	0	0	126360	-943	53	0	0	0	351	0	140400	0	0	4	0	-795.6	0	1532.5	351	1	0	0	0	0	176904	-1611	51	3076.7	3599.73	0	0	0	196560	0	0	0	0	-4894.81	0	946	0	0	0	3591.9	BAJA+2	2
